BOOK,PLANT_CODE,MODEL,车型
0B,SY13,4BC68,D2JB
0B,SY13,4BD68,D2JB
0B,SY13,4BE68,D2JB
EB,SY13,4BC69,D2SB
EB,SY13,4BE69,D2SB
EB,SY13,4BD69,D2SB
EU,SY10,4UE16,258 LEGACY
EU,SY10,4UF16,258 LEGACY
EU,SY10,4UG16,258 LEGACY
0B,SY11,1BL68,D2JC
0B,SY11,1BM68,D2JC
0B,SY11,1BN68,D2JC
0B,SY11,1BL69,D2LC
0B,SY11,1BM69,D2LC
0B,SY11,1BN69,D2LC
7L,SY11,1LX26,C140 LCI
EU,SY11,4UE16,258 LEGACY
EU,SY11,4UG16,258 LEGACY
EK,WH10,4KE19,K211
EK,WH10,4KF19,K211
EK,WH10,4KG19,K211
EK,WH10,4KE19,K215
EK,WH10,4KF19,K215
EK,WH10,4KG19,K215
EK,WH10,4KH19,K215
EK,WH10,1KB19,K216
EK,WH10,1KC19,K216
EK,WH10,1KD19,K216
EK,WH10,4KF35,K221
EK,WH10,4KH35,K221
0X,WH11,1XC26,D2UC
0X,WH11,1XD26,D2UC
0X,WH11,1XF26,D2UC
EK,WH11,1KB19,K216
EK,WH11,1KC19,K216
EK,WH11,1KD19,K216
EK,WH11,1KB19,K216 EXP
EK,WH11,1KC19,K216 EXP
EK,WH11,1KD19,K216 EXP
EK,WH11,4KE06,K256
EK,WH11,4KF06,K256
EK,WH11,4KG06,K256
0A,SH11,6AQ69,A10
0A,SH11,6AR69,A10
0A,SH11,6AT69,A10
0A,SH11,6AU69,A10
0G,SH11,EGB69,E15
0G,SH11,EGC69,E15
0Z,SH11,4ZK79,E2LB
0Z,SH11,4ZL79,E2LB
0Z,SH11,4ZM79,E2LB
0Z,SH11,4ZN79,E2LB
0Z,SH11,4ZR69,E2SB
0Z,SH11,4ZS69,E2SB
0Z,SH11,4ZT69,E2SB
0K,SH12,6KQ69,CT6
0K,SH12,6KR69,CT6
0K,SH12,6KS69,CT6
0K,SH12,6KT69,CT6
0K,SH12,6KU69,CT6
0K,SH12,6KL69,CT6 EXPORT
0N,SH12,6NB26,XT 5
0N,SH12,6NC26,XT 5
0N,SH12,6ND26,XT 5
0N,SH12,6NE26,XT 5
EU,SH12,4UJ16,358
EU,SH12,4UK16,358
EU,SH12,4UL16,358
EU,SH12,4UM16,358
0G,SH10,6GF69,E18
0G,SH10,6GG69,E18
0G,SH10,6GH69,E18
0R,SH10,4RR68,D2JBI
0R,SH10,4RS68,D2JBI
0Z,SH10,1ZG69,E2SC
0Z,SH10,1ZH69,E2SC
0Z,SH10,1ZJ69,E2SC
0Z,SH10,1ZK69,E2SC
EG,SH10,1GG69,E17 MCP
EG,SH10,1GH69,E17 MCP
EG,SH10,1GJ69,E17 MCP
0J,DY10,1JD76,G65
0J,DY10,1JM76,G65
0J,DY10,1JN76,G65
0J,DY10,4JB76,G66
0J,DY10,4JC76,G66
0J,DY10,4JD76,G66
EH,DY10,1HC69,S3
EH,DY10,1HD69,S3
0X,DY11,4XR26,D2UB N
0X,DY11,4XS26,D2UB N
0X,DY11,4XT26,D2UB N
0X,DY11,4XU26,D2UB N
0X,DY11,4XC26,D2UB S
0X,DY11,4XD26,D2UB S
0X,DY11,4XE26,D2UB S
0X,DY11,4XF26,D2UB S
0X,DY11,4XG26,D2UB S
EH,DY11,1HC69,S3
EH,DY11,1HB69,S3 EXPORT
EH,DY11,1HC69,S3 EXPORT
EH,DY11,1HD69,S3 EXPORT
EH,DY11,1HB46,S3 RV
EH,DY11,1HC46,S3 RV
EH,DY11,1HD46,S3 RV
